Date,Close/Last,Volume,Open,High,Low
08/13/2014,97.59,227677,97.20,97.78,96.75
08/12/2014,97.37,220174,97.84,97.94,96.81
08/11/2014,98.08,210577,97.54,98.58,97.37
08/08/2014,97.65,241543,97.64,98.45,97.15
08/07/2014,97.34,254228,96.89,97.72,96.55
08/06/2014,96.92,246817,97.62,98.13,96.69
08/05/2014,97.38,224477,98.41,98.67,97.00
08/04/2014,98.29,190575,97.67,98.67,97.43
08/01/2014,97.88,258956,97.70,98.10,97.09
07/31/2014,98.17,321100,99.47,99.85,97.60
07/30/2014,100.27,253116,101.03,101.67,99.42
07/29/2014,100.97,246119,101.60,101.83,100.37
07/28/2014,101.67,186920,101.87,102.10,100.90
07/25/2014,102.09,271381,102.04,102.53,101.00
07/24/2014,102.07,184493,103.20,103.31,101.88
07/23/2014,103.12,247726,101.96,103.34,101.79
07/22/2014,104.42,38446,104.58,105.25,103.89
07/21/2014,104.59,88460,102.97,104.99,102.65
07/18/2014,103.13,156730,103.72,103.94,102.58
07/17/2014,103.19,320974,101.49,103.90,101.27
07/16/2014,101.20,215550,100.21,101.60,100.07
07/15/2014,99.96,309838,100.93,101.06,99.01
07/14/2014,100.91,235000,100.46,101.20,100.22
07/11/2014,100.83,246137,102.86,102.92,100.44
07/10/2014,102.93,219271,101.95,103.00,101.55
07/09/2014,102.29,235711,103.45,103.60,101.85
07/08/2014,103.40,232050,103.39,104.20,103.01
07/07/2014,103.53,148778,103.75,104.09,103.19
07/04/2014,104.06,N/A,104.06,104.06,104.06
07/03/2014,104.06,323,104.06,104.12,104.05
07/02/2014,104.48,230246,105.21,105.53,104.10
07/01/2014,105.34,211315,105.44,106.09,104.60
06/30/2014,105.37,200219,105.69,105.76,104.66
06/27/2014,105.74,115165,105.64,106.19,105.33
06/26/2014,105.84,181424,106.71,106.81,105.03
06/25/2014,106.50,241938,106.14,107.50,105.47
06/24/2014,106.03,164236,106.02,106.46,105.25
06/23/2014,106.17,163617,107.42,107.45,105.91
06/20/2014,107.26,28823,106.60,107.73,106.33
06/19/2014,106.43,79809,106.11,106.70,105.32
06/18/2014,105.97,165302,106.60,106.97,105.80
06/17/2014,106.36,226506,106.59,107.18,106.01
06/16/2014,106.90,186779,106.88,107.54,106.57
06/13/2014,106.91,233692,106.84,107.68,106.37
06/12/2014,106.53,301935,104.47,106.95,104.35
06/11/2014,104.40,167476,104.30,104.81,104.17
